City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Rikitea,PF,78.94,clear sky,-23.1203,-134.9692,People ThankYou
18,Half Moon Bay,US,78.98,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
23,Katiola,CI,77.63,clear sky,8.1333,-5.1,Auberge Residence Yebin
29,Arraial Do Cabo,BR,75.7,few clouds,-22.9661,-42.0278,Pousada Porto Praia
31,Hithadhoo,MV,82.06,scattered clouds,-0.6,73.0833,Scoop Guest House
32,Mount Isa,AU,87.57,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
37,Gizo,SB,84.42,overcast clouds,-8.103,156.8419,Imagination Island
44,Atuona,PF,77.94,light rain,-9.8,-139.0333,Villa Enata
49,Puerto Ayora,EC,75.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
51,San Policarpo,PH,80.83,overcast clouds,12.1791,125.5072,Agapita M. Nicart
60,Faanui,PF,80.49,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
68,Kieta,PG,84.38,light rain,-6.2167,155.6333,Uruna Bay Retreat
70,Butaritari,KI,81.19,light rain,3.0707,172.7902,Isles Sunset Lodge
73,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
74,Mareeba,AU,80.47,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
76,Alofi,NU,85.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
80,Hilo,US,78.53,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
87,Vao,NC,80.28,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
89,Poum,NC,82.96,overcast clouds,-20.2333,164.0167,
94,Kapaa,US,82.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
97,The Valley,AI,77.09,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
101,Adelanto,US,75.79,clear sky,34.5828,-117.4092,Days Inn Adelanto-Victorville
109,Guaratinga,BR,77.67,overcast clouds,-16.5667,-39.5667,Hotel Caraíva
112,Calamar,CO,80.55,clear sky,10.2511,-74.9146,Hostal Katyalex
113,Avarua,CK,80.65,overcast clouds,-21.2078,-159.775,Paradise Inn
114,Lahaina,US,80.6,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
115,Vaini,TO,86.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
120,Ugoofaaru,MV,80.92,overcast clouds,5.6667,73.0,Ungoofaaru Inn
121,Bundaberg,AU,80.89,overcast clouds,-24.85,152.35,Takalvan Motel
124,Cabinda,AO,78.37,overcast clouds,-5.55,12.2,Hotel Maiombe
125,Nelson Bay,AU,82.09,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
126,Caravelas,BR,75.36,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
129,Namatanai,PG,85.57,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
133,Merauke,ID,85.03,broken clouds,-8.4667,140.3333,
135,Panguna,PG,80.1,light rain,-6.3164,155.4848,
136,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
138,Port-Gentil,GA,80.65,overcast clouds,-0.7193,8.7815,Fengshui Residence
143,Mogadishu,SO,76.68,overcast clouds,2.0371,45.3438,Hotel Juba
145,Bengkulu,ID,78.12,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
148,Isla Vista,US,80.35,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
150,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
155,Mahebourg,MU,81.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
158,Majene,ID,78.48,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
169,Saint-Pierre,RE,78.48,broken clouds,-21.3393,55.4781,Lindsey Hôtel
171,Cabo San Lucas,MX,77.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
172,Gamba,GA,77.16,broken clouds,-2.65,10.0,
173,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
179,Lorengau,PG,84.02,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
181,Saint-Georges,GD,78.48,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
184,Kupang,ID,82.51,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
187,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
192,Richards Bay,ZA,77.07,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
199,Piacabucu,BR,81.01,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
207,Ternate,ID,81.52,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
211,Kavaratti,IN,80.46,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
212,Kudahuvadhoo,MV,81.36,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
218,Aloleng,PH,81.5,few clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
219,Tabou,CI,76.6,light rain,4.423,-7.3528,hotêl doufoulougou
223,Cayenne,GF,80.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
224,Aden,YE,75.87,clear sky,12.7794,45.0367,Sama Emirate Hotel
227,Samarai,PG,82.99,scattered clouds,-10.6167,150.6667,Nuli Sapi
231,Bambous Virieux,MU,81.21,light rain,-20.3428,57.7575,Casa Tia Villa
255,Axim,GH,78.33,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
257,Sadao,TH,81.61,broken clouds,6.6388,100.4234,Banana Resort Sadao
262,Tutoia,BR,82.38,moderate rain,-2.7619,-42.2744,Pousada Guará's
273,Lantawan,PH,78.49,overcast clouds,10.6167,123.9833,Durano Ecofarm and Spring Resort
274,Nagua,DO,77.05,few clouds,19.3832,-69.8474,Hotel Cambri
275,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
276,Kavieng,PG,83.53,light rain,-2.5744,150.7967,Nusa Island Retreat
284,Ahuimanu,US,79.75,few clouds,21.4447,-157.8378,Paradise Bay Resort
287,Laguna,US,78.62,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
291,Bonthe,SL,77.29,clear sky,7.5264,-12.505,Bonthe Holiday Village
296,Lompoc,US,78.94,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
298,Thinadhoo,MV,81.61,overcast clouds,0.5333,72.9333,
299,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
307,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
308,Moerai,PF,79.57,overcast clouds,-22.4333,-151.3333,Le Manotel
316,Semporna,MY,79.0,broken clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
320,Tagusao,PH,82.04,overcast clouds,9.1924,117.8141,Green Villa beach resort
322,Muisne,EC,76.05,overcast clouds,0.6,-80.0333,Quinta Samay
326,Omboue,GA,78.28,overcast clouds,-1.5746,9.2618,Hotel Olako
328,Coruripe,BR,80.67,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
