City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Broome,US,42.2506,-75.833,17.62,69,40,10.36,scattered clouds
1,Kankon,IN,15.0167,74.0167,73.2,66,6,4.5,clear sky
2,Ushuaia,AR,-54.8,-68.3,38.86,81,40,26.46,scattered clouds
3,Carauari,BR,-4.8828,-66.8958,73.27,99,100,1.39,overcast clouds
4,Cape Town,ZA,-33.9258,18.4232,71.11,79,20,18.41,few clouds
5,Rikitea,PF,-23.1203,-134.9692,78.94,71,5,14.14,clear sky
6,Shubarkuduk,KZ,49.1447,56.4872,15.71,94,100,14.72,light snow
7,Tessalit,ML,20.1986,1.0114,61.14,22,23,11.41,few clouds
8,Ribeira Grande,PT,38.5167,-28.7,58.15,69,100,5.46,overcast clouds
9,Jamestown,US,42.097,-79.2353,15.3,61,100,5.75,overcast clouds
10,Ilulissat,GL,69.2167,-51.1,8.62,72,75,23.02,mist
11,Nikolayevsk-Na-Amure,RU,53.1406,140.73,3.83,83,10,3.94,clear sky
12,Yellowknife,CA,62.456,-114.3525,-15.45,84,40,0.0,scattered clouds
13,Asti,IT,44.8979,8.2068,43.95,72,16,1.52,few clouds
14,Tambovka,RU,50.0969,128.0489,-2.09,94,100,6.15,overcast clouds
15,Nikolskoye,RU,59.7035,30.7861,36.88,91,100,11.88,light snow
16,Imeni Poliny Osipenko,RU,52.4201,136.4853,5.25,91,100,7.94,overcast clouds
17,Kodiak,US,57.79,-152.4072,40.51,60,0,8.05,clear sky
18,Half Moon Bay,US,37.4636,-122.4286,78.98,51,0,3.44,clear sky
19,Socorro,US,31.6546,-106.3033,61.81,24,0,3.44,clear sky
20,Lukovetskiy,RU,64.2956,41.9211,15.78,89,100,9.35,light snow
21,Ponta Do Sol,PT,32.6667,-17.1,62.71,72,77,0.47,broken clouds
22,Bluff,NZ,-46.6,168.3333,67.8,64,100,3.74,overcast clouds
23,Katiola,CI,8.1333,-5.1,77.63,67,6,3.02,clear sky
24,Bredasdorp,ZA,-34.5322,20.0403,65.52,72,99,8.05,overcast clouds
25,Mar Del Plata,AR,-38.0023,-57.5575,64.87,72,0,4.61,clear sky
26,Thompson,CA,55.7435,-97.8558,-11.04,77,20,0.0,few clouds
27,Hermanus,ZA,-34.4187,19.2345,70.9,80,89,17.78,overcast clouds
28,Lata,PT,40.1629,-8.3327,53.82,93,15,2.24,few clouds
29,Arraial Do Cabo,BR,-22.9661,-42.0278,75.7,92,11,14.36,few clouds
30,Kaitangata,NZ,-46.2817,169.8464,60.93,65,97,6.38,overcast clouds
31,Hithadhoo,MV,-0.6,73.0833,82.06,75,38,12.8,scattered clouds
32,Mount Isa,AU,-20.7333,139.5,87.57,45,100,17.27,overcast clouds
33,Aswan,EG,24.0934,32.907,61.9,29,0,6.91,clear sky
34,Mormugao,IN,15.4,73.8,72.66,83,7,6.91,mist
35,Fort Nelson,CA,58.8053,-122.7002,8.19,72,40,2.3,scattered clouds
36,Salalah,OM,17.0151,54.0924,73.49,18,0,21.85,clear sky
37,Gizo,SB,-8.103,156.8419,84.42,68,98,6.67,overcast clouds
38,Tortoli,IT,39.9256,9.6572,48.02,93,0,9.22,clear sky
39,Mattru,SL,7.6244,-11.8332,74.48,96,16,2.24,few clouds
40,Hailar,CN,49.2,119.7,-24.29,98,99,1.48,overcast clouds
41,Punta Arenas,CL,-53.15,-70.9167,46.51,49,20,14.97,few clouds
42,Kalevala,RU,65.2,31.1667,29.97,97,100,8.77,light snow
43,Kruisfontein,ZA,-34.0033,24.7314,66.42,91,100,9.37,light rain
44,Atuona,PF,-9.8,-139.0333,77.94,78,14,13.6,light rain
45,Victoria,HK,22.2855,114.1577,61.25,82,24,5.99,few clouds
46,Busselton,AU,-33.65,115.3333,74.05,52,0,10.74,clear sky
47,Khandyga,RU,62.6667,135.6,-30.44,96,73,1.43,broken clouds
48,Norman Wells,CA,65.282,-126.8329,-5.76,65,100,4.61,overcast clouds
49,Puerto Ayora,EC,-0.7393,-90.3518,75.54,92,89,4.16,overcast clouds
50,Canutama,BR,-6.5339,-64.3831,72.16,99,100,0.65,overcast clouds
51,San Policarpo,PH,12.1791,125.5072,80.83,73,100,12.84,overcast clouds
52,Torbay,CA,47.6666,-52.7314,34.39,81,75,10.36,broken clouds
53,Collie,AU,-33.3667,116.15,69.98,44,0,9.08,clear sky
54,Mataura,NZ,-46.1927,168.8643,67.48,37,100,1.54,overcast clouds
55,Castro,BR,-24.7911,-50.0119,66.0,89,100,0.89,overcast clouds
56,Lebu,CL,-37.6167,-73.65,58.23,91,96,5.5,overcast clouds
57,Tuktoyaktuk,CA,69.4541,-133.0374,-29.2,68,75,9.22,broken clouds
58,Andros Town,BS,24.7,-77.7667,73.36,74,100,10.74,overcast clouds
59,Najran,SA,17.4924,44.1277,48.85,49,29,2.64,scattered clouds
60,Faanui,PF,-16.4833,-151.75,80.49,75,100,14.18,moderate rain
61,Shangzhi,CN,45.2167,127.9667,0.45,92,100,5.5,overcast clouds
62,Ibotirama,BR,-12.1853,-43.2206,69.35,96,100,2.51,overcast clouds
63,Qaanaaq,GL,77.484,-69.3632,-8.1,71,88,6.17,overcast clouds
64,Talnakh,RU,69.4865,88.3972,-7.89,70,7,8.68,clear sky
65,Tiksi,RU,71.6872,128.8694,-13.13,92,20,11.03,few clouds
66,Codrington,AU,-38.2667,141.9667,70.34,62,33,10.31,scattered clouds
67,Kalengwa,ZM,-13.4659,25.0027,60.62,97,25,1.03,scattered clouds
68,Kieta,PG,-6.2167,155.6333,84.38,70,100,4.63,light rain
69,Saskylakh,RU,71.9167,114.0833,-17.77,92,18,2.84,few clouds
70,Butaritari,KI,3.0707,172.7902,81.19,77,20,13.0,light rain
71,Luderitz,NA,-26.6481,15.1594,72.1,64,1,8.59,clear sky
72,New Norfolk,AU,-42.7826,147.0587,63.91,65,92,4.63,overcast clouds
73,Georgetown,MY,5.4112,100.3354,80.53,90,20,5.01,few clouds
74,Mareeba,AU,-17.0,145.4333,80.47,71,54,8.08,broken clouds
75,Shingu,JP,33.7333,135.9833,45.91,73,100,3.76,overcast clouds
76,Alofi,NU,-19.0595,-169.9187,85.89,66,100,9.22,overcast clouds
77,Smoky Lake,CA,54.1169,-112.4686,23.76,58,100,3.44,overcast clouds
78,Naze,JP,28.3667,129.4833,56.32,84,100,18.84,overcast clouds
79,Tura,IN,25.5198,90.2201,53.35,75,0,4.5,clear sky
80,Hilo,US,19.7297,-155.09,78.53,73,40,9.22,scattered clouds
81,Saldanha,ZA,-33.0117,17.9442,66.25,90,0,13.47,clear sky
82,Albany,US,42.6001,-73.9662,22.26,55,26,1.01,scattered clouds
83,Seymchan,RU,62.8833,152.4333,-32.55,96,81,1.48,broken clouds
84,Saint Anthony,US,45.0205,-93.218,8.44,73,100,13.8,snow
85,Imbituba,BR,-28.24,-48.6703,73.29,94,61,5.19,light rain
86,Saint-Esteve,FR,42.7131,2.843,57.02,58,0,14.97,clear sky
87,Vao,NC,-22.6667,167.4833,80.28,80,97,6.85,overcast clouds
88,Newport,GB,51.5877,-2.9984,47.25,84,100,1.99,overcast clouds
89,Poum,NC,-20.2333,164.0167,82.96,75,99,10.04,overcast clouds
90,Chuy,UY,-33.6971,-53.4616,58.86,65,0,6.22,clear sky
91,Havre-Saint-Pierre,CA,50.2334,-63.5986,3.2,71,0,14.97,clear sky
92,Pevek,RU,69.7008,170.3133,-16.37,97,100,8.5,overcast clouds
93,Honningsvag,NO,70.9821,25.9704,20.5,84,100,6.98,light snow
94,Kapaa,US,22.0752,-159.319,82.38,64,0,17.27,clear sky
95,Londoko,RU,49.0333,131.9833,12.09,90,100,1.1,light snow
96,Begusarai,IN,25.4167,86.1333,49.62,68,0,4.32,clear sky
97,The Valley,AI,18.217,-63.0578,77.09,69,0,21.41,clear sky
98,Mancio Lima,BR,-7.6142,-72.8958,72.73,99,100,2.04,overcast clouds
99,Guangyuan,CN,32.442,105.823,43.41,79,100,1.48,overcast clouds
100,Manthani,IN,18.65,79.6667,60.04,28,9,3.29,clear sky
101,Adelanto,US,34.5828,-117.4092,75.79,7,0,4.92,clear sky
102,Saint-Augustin,CA,51.226,-58.6502,-19.86,93,42,6.33,scattered clouds
103,Aklavik,CA,68.2191,-135.0107,-26.57,98,100,10.04,light snow
104,Ancud,CL,-41.8697,-73.8203,65.73,94,4,2.21,clear sky
105,Mayo,US,38.8876,-76.5119,34.14,62,100,10.36,overcast clouds
106,Lepe,ES,37.2548,-7.2043,55.11,78,100,7.18,overcast clouds
107,Lac-Megantic,CA,45.5834,-70.8823,10.42,99,78,2.01,broken clouds
