City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Samarai,PG,2022-02-11 22:35:18,-10.6167,150.6667,82.29,58,47,12.12
1,Price,US,2022-02-11 22:35:18,39.5994,-110.8107,54.66,24,0,19.57
2,Albany,US,2022-02-11 22:35:18,42.6001,-73.9662,48.85,51,89,9.8
3,Hobart,AU,2022-02-11 22:35:18,-42.8794,147.3294,62.11,61,75,8.05
4,Shubarkuduk,KZ,2022-02-11 22:35:19,49.1447,56.4872,27.18,97,100,8.37
5,Kavaratti,IN,2022-02-11 22:35:19,10.5669,72.642,80.06,76,20,8.1
6,Hermanus,ZA,2022-02-11 22:35:19,-34.4187,19.2345,65.89,89,0,8.23
7,Jamestown,US,2022-02-11 22:32:41,42.097,-79.2353,49.08,56,100,21.85
8,Limoges,FR,2022-02-11 22:35:20,45.75,1.3333,36.16,75,0,13.8
9,Carnarvon,AU,2022-02-11 22:35:20,-24.8667,113.6333,77.07,78,40,4.61
10,Atuona,PF,2022-02-11 22:35:20,-9.8,-139.0333,77.9,76,4,12.21
11,San Andres,CO,2022-02-11 22:35:20,12.5847,-81.7006,84.22,65,20,13.8
12,Akyab,MM,2022-02-11 22:35:21,20.15,92.9,64.83,72,35,11.5
13,Kapaa,US,2022-02-11 22:35:21,22.0752,-159.319,81.48,63,0,5.75
14,Stokmarknes,NO,2022-02-11 22:31:08,68.5646,14.9108,30.49,74,20,13.8
15,Taltal,CL,2022-02-11 22:35:21,-25.4,-70.4833,69.51,74,11,5.68
16,Deputatskiy,RU,2022-02-11 22:35:21,69.3,139.9,-19.44,97,98,5.82
17,Lompoc,US,2022-02-11 22:35:22,34.6391,-120.4579,86.77,30,0,10.36
18,Mataura,NZ,2022-02-11 22:35:22,-46.1927,168.8643,56.48,45,90,8.7
19,La Ronge,CA,2022-02-11 22:35:22,55.1001,-105.2842,-9.15,59,100,1.14
20,Saskylakh,RU,2022-02-11 22:35:23,71.9167,114.0833,6.96,90,97,14.52
21,Nelson Bay,AU,2022-02-11 22:35:23,-32.7167,152.15,75.25,63,99,3.0
22,Aykhal,RU,2022-02-11 22:35:23,66.0,111.5,-10.71,100,98,5.14
23,Ushuaia,AR,2022-02-11 22:31:34,-54.8,-68.3,55.06,67,100,5.75
24,Thompson,CA,2022-02-11 22:32:13,55.7435,-97.8558,-12.84,58,0,10.36
25,Leh,IN,2022-02-11 22:35:23,34.1667,77.5833,-12.1,53,4,4.05
26,Port Hawkesbury,CA,2022-02-11 22:35:24,45.6169,-61.3485,34.59,82,0,1.99
27,Bambous Virieux,MU,2022-02-11 22:35:24,-20.3428,57.7575,75.22,94,20,4.61
28,Cape Town,ZA,2022-02-11 22:31:01,-33.9258,18.4232,68.88,79,0,19.57
29,Velykyy Burluk,UA,2022-02-11 22:35:24,50.0379,37.3987,30.69,90,100,7.11
30,Vila Franca Do Campo,PT,2022-02-11 22:35:25,37.7167,-25.4333,59.2,74,70,1.92
31,Constitucion,CL,2022-02-11 22:31:54,-35.3333,-72.4167,64.56,60,0,12.48
32,Camabatela,AO,2022-02-11 22:35:25,-8.1881,15.375,63.32,85,100,0.89
33,Busselton,AU,2022-02-11 22:35:25,-33.65,115.3333,58.08,85,27,5.08
34,Narsaq,GL,2022-02-11 22:35:25,60.9167,-46.05,23.22,78,100,5.77
35,Nikolskoye,RU,2022-02-11 22:35:26,59.7035,30.7861,26.49,93,35,8.19
36,Sao Joao Da Barra,BR,2022-02-11 22:35:26,-21.6403,-41.0511,73.44,93,100,9.78
37,Tuktoyaktuk,CA,2022-02-11 22:35:26,69.4541,-133.0374,-22.0,76,40,8.05
38,Vaini,TO,2022-02-11 22:35:26,-21.2,-175.2,86.16,84,40,8.05
39,Ostrovnoy,RU,2022-02-11 22:30:43,68.0531,39.5131,17.06,93,94,9.75
40,Kununurra,AU,2022-02-11 22:32:55,-15.7667,128.7333,76.98,88,20,5.75
41,Spring Valley,US,2022-02-11 22:35:27,36.108,-115.245,78.19,16,0,11.5
42,Grindavik,IS,2022-02-11 22:35:27,63.8424,-22.4338,28.87,80,75,14.97
43,Castro,BR,2022-02-11 22:35:27,-24.7911,-50.0119,69.58,64,68,10.69
44,Maldonado,UY,2022-02-11 22:35:26,-34.6667,-54.9167,76.39,79,87,9.4
45,Yellowknife,CA,2022-02-11 22:36:27,62.456,-114.3525,-5.58,80,75,3.44
46,Alofi,NU,2022-02-11 22:36:28,-19.0595,-169.9187,84.09,70,2,16.11
47,Souillac,MU,2022-02-11 22:36:28,-20.5167,57.5167,75.36,94,20,4.61
48,Barentu,ER,2022-02-11 22:36:28,15.1139,37.5928,64.89,74,0,3.76
49,Manturovo,RU,2022-02-11 22:36:28,58.3353,44.7619,23.88,94,94,7.45
50,Bima,ID,2022-02-11 22:36:29,-8.4667,118.7167,76.28,93,98,2.57
51,Talnakh,RU,2022-02-11 22:36:29,69.4865,88.3972,-11.96,87,90,9.28
52,San Patricio,US,2022-02-11 22:36:29,28.017,-97.5169,79.48,63,9,15.7
53,Singaraja,ID,2022-02-11 22:36:29,-8.112,115.0882,76.96,87,100,5.06
54,Diego De Almagro,CL,2022-02-11 22:36:30,-26.3667,-70.05,72.54,31,0,10.54
55,Kalaleh,IR,2022-02-11 22:36:30,37.3807,55.4916,46.65,90,100,2.35
56,Rikitea,PF,2022-02-11 22:36:30,-23.1203,-134.9692,79.34,73,3,16.46
57,Ribeira Grande,PT,2022-02-11 22:36:30,38.5167,-28.7,60.24,73,100,10.31
58,Gizo,SB,2022-02-11 22:36:31,-8.103,156.8419,82.24,74,98,7.81
59,Rovaniemi,FI,2022-02-11 22:36:31,66.5,25.7167,11.61,92,0,8.05
60,Saint-Philippe,RE,2022-02-11 22:36:31,-21.3585,55.7679,74.79,73,25,6.8
61,Geraldton,AU,2022-02-11 22:36:32,-28.7667,114.6,70.21,94,100,2.3
62,Olinda,BR,2022-02-11 22:36:32,-8.0089,-34.8553,83.93,74,20,6.91
63,Abu Samrah,SY,2022-02-11 22:36:32,35.3029,37.1841,45.88,74,0,6.2
64,Mar Del Plata,AR,2022-02-11 22:35:07,-38.0023,-57.5575,61.09,77,100,20.0
65,Dayong,CN,2022-02-11 22:36:32,25.0209,118.2898,58.68,95,5,0.89
66,Isangel,VU,2022-02-11 22:36:33,-19.55,169.2667,86.11,74,75,4.61
67,Labuhan,ID,2022-02-11 22:36:33,-6.8844,112.2051,74.89,90,100,0.2
68,Te Anau,NZ,2022-02-11 22:35:07,-45.4167,167.7167,62.87,54,98,4.81
69,Bintulu,MY,2022-02-11 22:36:33,3.1667,113.0333,73.81,100,40,3.44
70,Hilo,US,2022-02-11 22:36:25,19.7297,-155.09,80.8,61,40,6.91
71,Luderitz,NA,2022-02-11 22:36:34,-26.6481,15.1594,76.5,63,100,9.42
72,Mastung,PK,2022-02-11 22:36:34,29.7994,66.845,44.69,23,0,5.57
73,Bethel,US,2022-02-11 22:36:34,41.3712,-73.414,50.02,56,60,9.13
74,Upernavik,GL,2022-02-11 22:36:34,72.7868,-56.1549,-11.06,76,100,16.37
75,Nioro,GM,2022-02-11 22:36:35,13.35,-15.75,81.95,9,0,11.25
76,Hofn,IS,2022-02-11 22:36:35,64.2539,-15.2082,27.46,78,100,21.07
77,Arraial Do Cabo,BR,2022-02-11 22:36:35,-22.9661,-42.0278,75.06,88,75,0.0
78,Churapcha,RU,2022-02-11 22:36:35,62.0025,132.4325,-40.09,100,78,3.4
